Price,Close,High,Low,Open,Volume
Ticker,ATOS,ATOS,ATOS,ATOS,ATOS
Date,,,,,
2019-11-22,1.3799999952316284,1.409999966621399,1.3300000429153442,1.3700000047683716,75800
2019-11-25,1.3899999856948853,1.4299999475479126,1.3600000143051147,1.3899999856948853,105500
2019-11-26,1.3300000429153442,1.3899999856948853,1.2999999523162842,1.350000023841858,70900
2019-11-27,1.340000033378601,1.409999966621399,1.309999942779541,1.309999942779541,42200
2019-11-29,1.3600000143051147,1.3799999952316284,1.3300000429153442,1.350000023841858,32100
2019-12-02,1.4500000476837158,1.4500000476837158,1.3600000143051147,1.3799999952316284,55000
2019-12-03,1.440000057220459,1.4700000286102295,1.3799999952316284,1.399999976158142,33500
2019-12-04,1.440000057220459,1.4800000190734863,1.4199999570846558,1.4199999570846558,32700
2019-12-05,1.3799999952316284,1.4299999475479126,1.3799999952316284,1.4299999475479126,43500
2019-12-06,1.3700000047683716,1.4500000476837158,1.3700000047683716,1.399999976158142,43800
2019-12-09,1.4299999475479126,1.4500000476837158,1.3799999952316284,1.3799999952316284,46800
2019-12-10,1.4299999475479126,1.5299999713897705,1.4199999570846558,1.4700000286102295,117200
2019-12-11,1.3899999856948853,1.4700000286102295,1.3899999856948853,1.4299999475479126,24400
2019-12-12,1.3899999856948853,1.4199999570846558,1.3799999952316284,1.399999976158142,32800
2019-12-13,1.4299999475479126,1.4299999475479126,1.3799999952316284,1.409999966621399,41300
2019-12-16,1.3899999856948853,1.4500000476837158,1.350000023841858,1.409999966621399,36700
2019-12-17,1.4199999570846558,1.4199999570846558,1.3899999856948853,1.3899999856948853,19600
2019-12-18,1.6200000047683716,1.659999966621399,1.4299999475479126,1.4900000095367432,334700
2019-12-19,1.6399999856948853,1.850000023841858,1.6200000047683716,1.659999966621399,393800
2019-12-20,1.5399999618530273,1.7400000095367432,1.5,1.649999976158142,145000
2019-12-23,1.6299999952316284,1.7000000476837158,1.5299999713897705,1.6200000047683716,120100
2019-12-24,1.6200000047683716,1.649999976158142,1.590000033378601,1.649999976158142,28400
2019-12-26,1.659999966621399,1.7000000476837158,1.6100000143051147,1.659999966621399,85200
2019-12-27,1.6699999570846558,1.7300000190734863,1.590000033378601,1.6200000047683716,91900
2019-12-30,1.600000023841858,1.7000000476837158,1.600000023841858,1.649999976158142,103800
2019-12-31,1.5700000524520874,1.6299999952316284,1.5499999523162842,1.590000033378601,74700
2020-01-02,1.590000033378601,1.659999966621399,1.5399999618530273,1.5399999618530273,55600
2020-01-03,1.590000033378601,1.659999966621399,1.5499999523162842,1.5499999523162842,52300
2020-01-06,1.5800000429153442,1.7599999904632568,1.5499999523162842,1.7300000190734863,58300
2020-01-07,1.6200000047683716,1.75,1.5499999523162842,1.5499999523162842,307400
2020-01-08,1.6100000143051147,1.6699999570846558,1.5499999523162842,1.6699999570846558,114400
2020-01-09,1.5499999523162842,1.6100000143051147,1.5499999523162842,1.5800000429153442,56300
2020-01-10,1.5700000524520874,1.6799999475479126,1.5399999618530273,1.5700000524520874,72300
2020-01-13,1.5199999809265137,1.590000033378601,1.5,1.5499999523162842,111700
2020-01-14,1.5399999618530273,1.559999942779541,1.5,1.5,70400
2020-01-15,1.5299999713897705,1.600000023841858,1.5199999809265137,1.559999942779541,88000
2020-01-16,1.5199999809265137,1.559999942779541,1.4600000381469727,1.5199999809265137,95400
2020-01-17,1.5299999713897705,1.5299999713897705,1.5,1.5199999809265137,67700
2020-01-21,1.5099999904632568,1.5399999618530273,1.4900000095367432,1.5399999618530273,68500
2020-01-22,1.5,1.5099999904632568,1.4600000381469727,1.5099999904632568,63500
2020-01-23,1.5099999904632568,1.5099999904632568,1.4600000381469727,1.4600000381469727,55100
2020-01-24,1.5499999523162842,1.5700000524520874,1.5299999713897705,1.5299999713897705,58000
2020-01-27,1.5399999618530273,1.5499999523162842,1.5099999904632568,1.5099999904632568,90300
2020-01-28,1.5399999618530273,1.5499999523162842,1.5099999904632568,1.5299999713897705,54300
2020-01-29,1.4900000095367432,1.5299999713897705,1.4900000095367432,1.5199999809265137,32900
2020-01-30,1.440000057220459,1.5,1.399999976158142,1.4600000381469727,117000
2020-01-31,1.4800000190734863,1.5399999618530273,1.399999976158142,1.4500000476837158,105600
2020-02-03,1.4600000381469727,1.5199999809265137,1.4500000476837158,1.4800000190734863,37200
2020-02-04,1.4700000286102295,1.5099999904632568,1.4700000286102295,1.4800000190734863,18500
2020-02-05,1.5199999809265137,1.5299999713897705,1.4700000286102295,1.5,38000
2020-02-06,1.5,1.5299999713897705,1.4900000095367432,1.5299999713897705,26500
2020-02-07,1.5,1.5399999618530273,1.4900000095367432,1.4900000095367432,18500
2020-02-10,1.4500000476837158,1.5199999809265137,1.4500000476837158,1.5099999904632568,73600
2020-02-11,1.399999976158142,1.4600000381469727,1.350000023841858,1.4600000381469727,122200
2020-02-12,1.399999976158142,1.4500000476837158,1.3799999952316284,1.399999976158142,46800
2020-02-13,1.399999976158142,1.399999976158142,1.3600000143051147,1.3700000047683716,32800
2020-02-14,1.3799999952316284,1.399999976158142,1.2999999523162842,1.399999976158142,132500
2020-02-18,1.3700000047683716,1.3899999856948853,1.340000033378601,1.340000033378601,38000
